"","State","ABV_State_median"
"1"," AK",0.057
"2"," AL",0.06
"3"," AR",0.04
"4"," AZ",0.0575
"5"," CA",0.058
"6"," CO",0.065
"7"," CT",0.061
"8"," DC",0.059
"9"," DE",0.055
"10"," FL",0.062
"11"," GA",0.062
"12"," HI",0.052
"13"," IA",0.056
"14"," ID",0.058
"15"," IL",0.057
"16"," IN",0.057
"17"," KS",0.05
"18"," KY",0.0575
"19"," LA",0.051
"20"," MA",0.054
"21"," MD",0.0565
"22"," ME",0.067
"23"," MI",0.056
"24"," MN",0.0555
"25"," MO",0.05
"26"," MS",0.058
"27"," MT",0.057
"28"," NC",0.061
"29"," ND",0.05
"30"," NE",0.056
"31"," NH",0.0465
"32"," NJ",0.046
"33"," NM",0.061
"34"," NV",0.055
"35"," NY",0.0595
"36"," OH",0.0575
"37"," OK",0.063
"38"," OR",0.056
"39"," PA",0.057
"40"," RI",0.0525
"41"," SC",0.05
"42"," TN",0.055
"43"," TX",0.055
"44"," UT",0.04
"45"," VA",0.057
"46"," VT",0.055
"47"," WA",0.056
"48"," WI",0.051
"49"," WV",0.062
"50"," WY",0.051
